Crawford,19-6N-12W,"Maus's Well Service, Inc.","Smith, C. etal #3-WI","400'N line, 330'E line of NE",WI,204680 120333576201,Robinson
Crawford,8-6N-13W,"Epoch Energy, LLC","Shilts, M. #WS-1-SWD","500'N line, 1100'W line of SW",SWD,204679 120330763801,Buchanan
Franklin,29-5S-3E,Gesell's Pump Sales & Service,Bauer #2,"330'S line, 330'W line of SW NE",OIL,65971 120552517100,Warsaw
Franklin,35-6S-2E,Gesell's Pump Sales & Service,Finite Crown #B-30,"55'S line, 278'E line of SE NE SE",OIL,65978 120552516600,Warsaw
Franklin,34-7S-1E,"Pioneer Oil Co., Inc.",Royalton #1-34,"333'N line, 335'E line of SE SE",OIL,65973 120552516700,Platteville
Franklin,16-7S-3E,"Lampley Oil, Inc.",Lampley CNX #16-1A,"330'N line, 330'E line of NE NE",OIL,65965 120552516900,Warsaw
Franklin,16-7S-3E,"Lampley Oil, Inc.",Lampley CNX #9-5B,"415'N line, 2296'W line of NW",OIL,65966 120552516800,Warsaw
Franklin,17-7S-3E,"Lampley Oil, Inc.",Lampley CNX #8-2A,"340'N line, 90'E line of NE NE",OIL,65967 120552517000,Warsaw
Gallatin,2-8S-9E,"Dee Drilling Co., Inc.","Moye, Ben #1","331'N line, 361'E line of SE SE",OIL,65977 120592583300,Ste Genevieve
Gallatin,16-8S-9E,"Dee Drilling Co., Inc.",Hish - Cox #1,"337'S line, 439'W line of NE SW",OIL,65970 120592584200,Cypress
Gallatin,24-8S-9E,"T & B Production Co., LLC",Lawler #1-24,"330'S line, 330'W line of NW SE",OIL,65956 120592530502,McClosky
Jasper,6-6N-11E,"Urfer, Stan","Eubank, Arthur #1","330'S line, 5'E line of NW SW NE",OIL,65972 120792567600,Warsaw
Lawrence,32-4N-12W,"CDG Operations, LLC","Middagh, Robert ASP BCF","2003'N line, 627'W line of NE NW",OIL,65976 121013205202,Bridgeport
"",,,"#10-CDG",,,,
Lawrence,32-4N-12W,"CDG Operations, LLC","Middagh, Robert ASP BCF","1933'N line, 938'W line of NE NW",OIL,65975 121013205302,Bridgeport
"",,,"#11-CDG",,,,
Richland,21-4N-10E,"Got Oil, LLC",Schnepper #2,"660'S line, 1300'W line of SW NW",OIL,65968 121592652900,Warsaw
Sangamon,27-15N-6W,Landgas Exploration & Prod. LLC,Theillen #2,"29'N line, 295'E line of SE NE NW",OIL,65969 121672683600,Trenton
Wabash,20-1N-12W,"Nichols Operating, LLC",Johnson #5-20,"332'S line, 63'E line of SW SW",OIL,65959 121852907400,Yankeetown
Wabash,20-1N-12W,"Keepes, Randy R.","Wood, Clifton #AA-1","330'S line, 2052'W line of SW",OIL,65974 121852907500,Biehl
Wabash,8-1S-12W,Keron Oil Development,Harris etal Unit #5,"380'S line, 248'E line of NE",OIL,65958 121852767501,Benoist
White,25-3S-10E,Shawnee Exploration Partners LLC,Blackford #25-3,"352'S line, 1092'E line of section",OIL,65961 121933374300,Fort Payne
White,36-3S-10E,Shawnee Exploration Partners LLC,Hon #36-4,"660'S line, 327'W line of NE",OIL,65960 121933374400,Fort Payne
White,8-4S-14W,Quantum XL LLC,Bond #8-2 DEEP,"330'N line, 365'E line of NE SW",OIL,65962 121933374500,Warsaw
White,8-4S-14W,Quantum XL LLC,Bond #8-3 DEEP,"360'N line, 330'E line of SE SW",OIL,65963 121933374600,Warsaw
White,8-4S-14W,Quantum XL LLC,Bond #8-4 DEEP,"302'S line, 341'W line of NE SW",OIL,65964 121933374700,Warsaw
White,23-6S-8E,"Countrymark Energy Resources, LLC",Bolerjack #10,"332'S line, 389'W line of NE NE",OIL,65957 121933374800,Dutch Creek
White,7-7S-10E,"Campbell Energy, LLC",Upchurch #3,"329'N line, 329'W line of SW NE",WI,204681 121933307801,Tar Springs
